,artist,album,release_date
90,여자친구 (GFRIEND),Time for us,2019-01-14T08:00:00Z
392,여자친구 (GFRIEND),FEVER SEASON,2019-07-01T07:00:00Z
381,여자친구 (GFRIEND),回:LABYRINTH - EP,2020-02-03T08:00:00Z
91,여자친구 (GFRIEND),"투유프로젝트 - Sugar Man3, Episode. 10 - EP",2020-02-15T08:00:00Z
18,여자친구 (GFRIEND),回:Song of the Sirens - EP,2020-07-13T07:00:00Z
495,여자친구 (GFRIEND),回:Walpurgis Night,2020-11-09T08:00:00Z
485,예성 (YESUNG),Here I am - The 1st Mini Album,2016-04-19T07:00:00Z
155,예성 (YESUNG),Spring Falling - The 2nd Mini Album - EP,2017-04-18T07:00:00Z
503,예성 (YESUNG),STORY,2019-02-20T08:00:00Z
303,예성 (YESUNG),Pink Magic - EP,2019-06-18T07:00:00Z
415,예성 (YESUNG),Beautiful Night - The 4th Mini Album,2021-05-03T07:00:00Z
384,예성 (YESUNG),Sensory Flows - The 1st Album,2023-01-25T08:00:00Z
198,예성 (YESUNG),Floral Sense - The 1st Album (Special Version),2023-02-27T08:00:00Z
289,예성 (YESUNG),君という桜の花びらが僕の心に舞い降りた。 - EP,2023-05-24T07:00:00Z
135,예성 (YESUNG),Unfading Sense - The 5th Mini Album - EP,2023-10-04T07:00:00Z
330,예성 (YESUNG),It's Complicated - The 6th Mini Album - EP,2024-11-05T08:00:00Z
293,오렌지 캬라멜 (Orange Caramel),The First Mini Album - EP,2010-06-17T07:00:00Z
247,오렌지 캬라멜 (Orange Caramel),A-Ing♡ - EP,2010-11-18T08:00:00Z
156,오렌지 캬라멜 (Orange Caramel),Lipstick,2012-09-12T07:00:00Z
420,오렌지 캬라멜 (Orange Caramel),ORANGE CARAMEL,2013-03-13T07:00:00Z
139,우원재,Af,2018-11-22T08:00:00Z
3,우원재,Black Out,2020-08-18T07:00:00Z
257,우원재,comma - EP,2022-11-24T08:00:00Z
516,울랄라세션,"Superstar K3 Top11, Pt. 6 - EP",2011-11-07T08:00:00Z
492,울랄라세션,"ULALA SENSATION, Pt. 2 - EP",2012-05-16T07:00:00Z
400,울랄라세션,Memory,2013-06-27T07:00:00Z
172,울랄라세션,reJOYce,2014-11-19T08:00:00Z
466,울랄라세션,"Alive, Pt. 2 - Im Yun Taek - EP",2022-02-04T08:00:00Z
393,울랄라세션,"SingAgain2 - Battle of the Unknown, Ep. 9 (From the JTBC Television Show)",2022-02-08T08:00:00Z
43,울랄라세션,"SingAgain2 - Battle of the Unknown, Ep. 10 (From the JTBC Television Show)",2022-02-15T08:00:00Z
402,위너(WINNER),[YG Music] 2014 S/S,2014-08-12T07:00:00Z
428,위너(WINNER),2014 S/S,2014-08-12T07:00:00Z
432,위너(WINNER),2014 S/S -Japan Collection-,2014-09-10T07:00:00Z
81,위너(WINNER),WINNER 1st JAPAN TOUR 2014 (Live),2015-08-26T07:00:00Z
356,위너(WINNER),EXIT : E - EP,2016-02-01T08:00:00Z
50,위너(WINNER),WINNER JAPAN TOUR 2015 (Live),2016-05-25T07:00:00Z
376,위너(WINNER),EXIT MOVEMENT:E -JAPAN EDITION- - EP,2016-06-15T07:00:00Z
412,위너(WINNER),2016 WINNER EXIT TOUR IN SEOUL LIVE,2016-07-28T07:00:00Z
493,위너(WINNER),2016 WINNER EXIT TOUR IN JAPAN,2016-12-14T08:00:00Z
197,위너(WINNER),FATE NUMBER FOR - EP,2017-05-31T07:00:00Z
334,위너(WINNER),OUR TWENTY FOR - EP,2017-08-04T07:00:00Z
469,위너(WINNER),OUR TWENTY FOR,2018-02-07T08:00:00Z
9,위너(WINNER),EVERYD4Y,2018-04-04T07:00:00Z
67,위너(WINNER),EVERYD4Y,2018-09-05T07:00:00Z
388,위너(WINNER),WINNER JAPAN TOUR 2018 ~We'll always be young~,2018-09-05T07:00:00Z
186,위너(WINNER),WE - EP,2019-05-15T07:00:00Z
76,위너(WINNER),WE,2019-07-31T07:00:00Z
31,위너(WINNER),CROSS,2019-10-23T07:00:00Z
125,위너(WINNER),"WINNER THE BEST ""SONG 4 U""",2020-02-12T08:00:00Z
487,위너(WINNER),WINNER JAPAN TOUR 2019,2020-03-04T08:00:00Z
214,위너(WINNER),Remember,2020-04-09T07:00:00Z
515,위너(WINNER),Remember (JP EDITION),2020-07-22T07:00:00Z
379,위너(WINNER),HOLIDAY - EP,2022-07-05T07:00:00Z
176,위너(WINNER),THE BEST OF WINNER LIVE,2025-07-23T07:00:00Z
338,이클립스,"Lovely Runner, Pt. 1 (Original Soundtrack)",2024-04-08T07:00:00Z
177,이클립스,"Lovely Runner, Pt. 4 (Original Soundtrack) - EP",2024-04-23T07:00:00Z
78,이하이,SBS K-POP Star SPECIAL No.1 - EP,2012-03-21T07:00:00Z
126,이하이,SBS K-POP Star Top 5 - EP,2012-04-08T07:00:00Z
460,이하이,First Love,2013-03-28T07:00:00Z
417,이하이,SEOULITE - EP,2016-03-09T08:00:00Z
112,이하이,SEOULITE - EP,2016-04-20T07:00:00Z
264,이하이,24℃ - EP,2019-05-30T07:00:00Z
445,이하이,4 ONLY,2021-09-09T07:00:00Z
55,인피니트H,Fly High - EP,2013-01-11T08:00:00Z
131,인피니트H,Second Mini Album 'Fly Again',2015-01-26T08:00:00Z
56,장범준,Jang Beom June 1st Album,2014-08-19T07:00:00Z
418,장범준,Jang Beom June 2nd Album,2016-03-25T07:00:00Z
346,장범준,Jang Beom June 3rd,2019-03-21T07:00:00Z
119,장범준,History of Nerds,2025-03-20T07:00:00Z
196,장범준,Buscar Buscar - EP,2025-07-20T07:00:00Z
220,장재인,Summer Night - EP,2012-08-01T07:00:00Z
40,장재인,LIQUID - EP,2015-06-11T07:00:00Z
51,장재인,INNER SPACE - EP,2019-12-18T08:00:00Z
174,장재인,The Quest for Anxiety,2020-11-18T08:00:00Z
246,정용화(Jung Yong Hwa),"Heartstrings (Original Television Soundtrack), Pt. 4",2011-07-13T07:00:00Z
311,정용화(Jung Yong Hwa),Live-2015 Solo Live -One Fine Day-,2015-01-01T00:00:00Z
319,정용화(Jung Yong Hwa),Live-2015 Solo Live -One Fine Day-@Nihon Budokan,2015-01-01T00:00:00Z
499,정용화(Jung Yong Hwa),Live-2015 Special Event -One Fine Day- - EP,2015-01-01T00:00:00Z
209,정용화(Jung Yong Hwa),One Fine Day,2015-01-20T08:00:00Z
458,정용화(Jung Yong Hwa),Jung Yong Hwa 1st Concert (One Fine Day) [Live Version],2015-11-26T08:00:00Z
433,정용화(Jung Yong Hwa),Live 2015 FNC Kingdom,2016-01-01T00:00:00Z
57,정용화(Jung Yong Hwa),Live 2016 FNC Kingdom -Creepy Nights- - EP,2017-05-24T07:00:00Z
261,정용화(Jung Yong Hwa),JUNG YONG HWA 1st Mini Album 'Do Disturb' - EP,2017-07-19T07:00:00Z
452,정용화(Jung Yong Hwa),Summer Calling,2017-08-09T07:00:00Z
357,정용화(Jung Yong Hwa),2018 Jung Yong Hwa 'Room 622' (Live),2018-11-07T08:00:00Z
297,정용화(Jung Yong Hwa),FEEL THE Y'S CITY,2020-02-26T08:00:00Z
0,정용화(Jung Yong Hwa),Live 2017 FNC Kingdom -Midnight Circus- - EP,2020-09-15T07:00:00Z
65,정용화(Jung Yong Hwa),Live-Film Live 2015-2017 -Feel the Voice-,2020-09-15T07:00:00Z
136,정용화(Jung Yong Hwa),Live-FNC Kingdom 2015-2018 -Feel the Ballads-,2020-09-15T07:00:00Z
371,정용화(Jung Yong Hwa),Live-2019 Solo Fmt -Y's Home- - EP,2020-09-15T07:00:00Z
374,정용화(Jung Yong Hwa),Live 2019 FNC Kingdom -Winter Forest Camp-,2020-09-15T07:00:00Z
459,정용화(Jung Yong Hwa),Live -2017 Solo Live - Summer Calling,2020-09-15T07:00:00Z
471,정용화(Jung Yong Hwa),Live -2017 Solo Live - Summer Calling-@Kobe World Hall,2020-09-15T07:00:00Z
526,정용화(Jung Yong Hwa),Live -2017 Solo Live - Summer Calling@Xmas-,2020-09-15T07:00:00Z
45,정용화(Jung Yong Hwa),"鄭容和 首張華語EP ""和.唱"" - EP",2021-06-21T07:00:00Z
454,정용화(Jung Yong Hwa),YOUR CITY - EP,2023-09-14T07:00:00Z
123,정용화(Jung Yong Hwa),One Last Day,2025-07-03T07:00:00Z
222,정인,Jung In from Andromeda,2010-03-11T08:00:00Z
509,정인,정인 From Andromeda - EP,2010-03-11T08:00:00Z
187,정인,Melody Remedy - EP,2011-04-05T07:00:00Z
321,정인,Her - EP,2013-03-12T07:00:00Z
253,정인,Rare - EP,2016-01-26T08:00:00Z
219,정인,보컬전쟁 - 신의 목소리 Part.13 - EP,2016-07-14T07:00:00Z
358,정인,One Drop a Day (Original Soundtrack) Pt. 1 - EP,2023-09-03T07:00:00Z
5,정인,Jung In & Mild Beats,2024-08-02T07:00:00Z
349,정인,1980 화요일,2025-02-25T08:00:00Z
429,제니 (JENNIE),One of the Girls - EP,2023-12-08T08:00:00Z
390,제니 (JENNIE),Ruby,2025-03-05T08:00:00Z
11,제니 (JENNIE),Ruby - JENNIE Only Audio,2025-03-07T08:00:00Z
312,제니 (JENNIE),Ruby,2025-03-07T08:00:00Z
336,지나(G.NA),Draw G's First Breath - EP,2010-07-14T07:00:00Z
502,지나(G.NA),Black & White,2011-01-18T08:00:00Z
260,지나(G.NA),Top Girl - EP,2011-08-23T07:00:00Z
524,지나(G.NA),Bloom,2012-05-22T07:00:00Z
157,지나(G.NA),Beautiful Kisses - EP,2013-03-14T07:00:00Z
449,지나(G.NA),"Together Forever, Vol. 1 - EP",2015-11-30T08:00:00Z
306,케이티 김,Log - EP,2019-05-22T07:00:00Z
438,케이티 김,Our Time is Blue - EP,2020-12-04T08:00:00Z
258,케이티 김,By you,2025-10-30T07:00:00Z
302,타블로,"Fever's End, Pt. 1 - EP",2011-10-21T07:00:00Z
301,타블로,"Fever's End, Pt. 2 - EP",2011-11-01T07:00:00Z
373,타블로 (에픽하이),"Fever's End, Pt. 1 - EP",2011-10-21T07:00:00Z
527,타블로 (에픽하이),"Fever's End, Pt. 2 - EP",2011-11-01T07:00:00Z
162,태연 (TAEYEON),I - The 1st Mini Album - EP,2015-10-07T07:00:00Z
143,태연 (TAEYEON),Why - The 2nd Mini Album,2016-06-28T07:00:00Z
405,태연 (TAEYEON),My Voice - The 1st Album,2017-02-28T08:00:00Z
210,태연 (TAEYEON),My Voice - The 1st Album (Deluxe Edition),2017-04-05T07:00:00Z
234,태연 (TAEYEON),This Christmas – Winter is Coming,2017-12-12T08:00:00Z
317,태연 (TAEYEON),Something New - The 3rd Mini Album - EP,2018-06-18T07:00:00Z
385,태연 (TAEYEON),VOICE,2019-05-13T07:00:00Z
205,태연 (TAEYEON),Purpose - The 2nd Album,2019-10-28T07:00:00Z
202,태연 (TAEYEON),Purpose - The 2nd Album Repackage - EP,2020-01-15T08:00:00Z
54,태연 (TAEYEON),#GirlsSpkOut - EP,2020-10-30T07:00:00Z
426,태연 (TAEYEON),What Do I Call You - The 4th Mini Album - EP,2020-12-15T08:00:00Z
282,태연 (TAEYEON),INVU - The 3rd Album,2022-02-14T08:00:00Z
113,태연 (TAEYEON),To. X - The 5th Mini Album - EP,2023-11-27T08:00:00Z
46,태연 (TAEYEON),iScreaM Vol.30 : To. X Remixes - EP,2024-03-08T08:00:00Z
474,태연 (TAEYEON),Letter To Myself - The 6th Mini Album - EP,2024-11-18T08:00:00Z
242,태연 (TAEYEON),Panorama : The Best of TAEYEON,2025-12-01T08:00:00Z
411,트러블메이커 (Trouble Maker),Trouble Maker - EP,2011-12-01T08:00:00Z
104,트러블메이커 (Trouble Maker),Chemistry - EP,2013-10-28T07:00:00Z
22,트러블메이커 (Trouble Maker),F.R.I.E.N.D.S - EP,2025-11-21T08:00:00Z
407,트러블메이커 (Trouble Maker),Every Scar Is A Story - EP,2026-02-27T08:00:00Z
314,하이라이트(Highlight),CAN YOU FEEL IT? - EP,2017-03-13T07:00:00Z
141,하이라이트(Highlight),CALLING YOU,2017-05-29T07:00:00Z
440,하이라이트(Highlight),CELEBRATE - EP,2017-10-16T07:00:00Z
66,하이라이트(Highlight),OUTRO - EP,2018-11-20T08:00:00Z
512,하이라이트(Highlight),The Blowing - EP,2021-05-03T07:00:00Z
100,하이라이트(Highlight),DAYDREAM,2022-03-21T07:00:00Z
122,하이라이트(Highlight),AFTER SUNSET - EP,2022-11-07T08:00:00Z
281,하이라이트(Highlight),Switch On - EP,2024-03-11T07:00:00Z
248,하이라이트(Highlight),From Real to Surreal - EP,2025-04-28T07:00:00Z
150,하이라이트(Highlight),HIGHLIGHT 〈RIDE OR DIE〉 (Live 2025),2025-12-18T08:00:00Z
300,현아 & 낯선,Bubble Pop! - EP,2011-07-05T07:00:00Z
211,현아 & 낯선,Melting - EP,2012-10-21T07:00:00Z
267,현아 & 낯선,A Talk - EP,2014-07-28T07:00:00Z
10,현아 & 낯선,A+ - EP,2015-08-21T07:00:00Z
225,현아 & 낯선,"Together Forever, Vol. 1 - EP",2015-11-30T08:00:00Z
130,현아 & 낯선,A'wesome - EP,2016-08-01T07:00:00Z
249,현아 & 낯선,Following - EP,2017-08-29T07:00:00Z
278,현아 & 낯선,I'm Not Cool - EP,2021-01-28T08:00:00Z
441,현아 & 낯선,Nabillera - EP,2022-07-20T07:00:00Z
365,현아 & 낯선,Attitude - EP,2024-05-02T07:00:00Z
195,현아 (HyunA),Bubble Pop! - EP,2011-07-05T07:00:00Z
168,현아 (HyunA),Melting - EP,2012-10-21T07:00:00Z
185,현아 (HyunA),A Talk - EP,2014-07-28T07:00:00Z
451,현아 (HyunA),A+ - EP,2015-08-21T07:00:00Z
148,현아 (HyunA),"Together Forever, Vol. 1 - EP",2015-11-30T08:00:00Z
73,현아 (HyunA),A'wesome - EP,2016-08-01T07:00:00Z
324,현아 (HyunA),Following - EP,2017-08-29T07:00:00Z
171,현아 (HyunA),I'm Not Cool - EP,2021-01-28T08:00:00Z
362,현아 (HyunA),Nabillera - EP,2022-07-20T07:00:00Z
170,현아 (HyunA),Attitude - EP,2024-05-02T07:00:00Z
284,효린,"Master's Sun (Original Television Soundtrack), Pt. 3",2013-08-21T07:00:00Z
223,효린,Love & Hate,2013-11-26T08:00:00Z
199,효린,"Unpretty Rapstar 2 SEMI FINAL, Pt. 1 - EP",2015-11-07T08:00:00Z
30,효린,It's Me - EP,2016-11-08T08:00:00Z
256,효린,SAY MY NAME - EP,2020-08-19T07:00:00Z
193,효린,iCE - EP,2022-07-18T07:00:00Z
